id,defect_type,severity,temperature,location,image_path,detected_at,status,taken_by,taken_at,zone
27,Crack,high,62.6,"Noor IV, Ligne 7, Colonne 9",data/simulated_images\defect_Crack_20260510_130422.png,2026-05-10 13:04:22,pending,,,Noor IV
28,Shading,medium,52.3,"Noor IV, Ligne 2, Colonne 7",data/simulated_images\defect_Shading_20260510_131747.png,2026-05-10 13:17:49,pending,,,Noor IV
29,Dust,low,41.5,"Noor IV, Ligne 2, Colonne 9",data/simulated_images\defect_Dust_20260510_131812.png,2026-05-10 13:18:12,pending,,,Noor IV
30,HTFLeak,critical,103.7,"Noor II, Ligne 9, Colonne 12",data/simulated_images\defect_HTFLeak_20260510_132437.png,2026-05-10 13:24:39,pending,,,Noor II
31,HTFLeak,critical,104.8,"Noor II, Ligne 10, Colonne 12",data/simulated_images\defect_HTFLeak_20260510_132450.png,2026-05-10 13:24:50,taken,Assia,2026-05-10 15:06:40,Noor II
32,StringReversedPolarity,high,69.6,"Midelt, Ligne 11, Colonne 3",data/simulated_images\defect_StringReversedPolarity_20260510_132502.png,2026-05-10 13:25:02,pending,,,Midelt
33,ReceiverTubeLeak,critical,81.0,"Noor III, Ligne 2, Colonne 10",data/simulated_images\defect_ReceiverTubeLeak_20260510_132502.png,2026-05-10 13:25:02,pending,,,Noor III
34,StringOpenCircuit,critical,74.2,"Midelt, Ligne 8, Colonne 7",data/simulated_images\defect_StringOpenCircuit_20260510_132505.png,2026-05-10 13:25:05,pending,,,Midelt
35,ThermalGradientAnomaly,medium,64.6,"Noor III, Ligne 8, Colonne 1",data/simulated_images\defect_ThermalGradientAnomaly_20260510_132506.png,2026-05-10 13:25:06,pending,,,Noor III
36,AbsorberTubeDegradation,critical,84.8,"Noor II, Ligne 2, Colonne 10",data/simulated_images\defect_AbsorberTubeDegradation_20260510_132508.png,2026-05-10 13:25:08,taken,Alla Chaimae,2026-05-10 15:48:00,Noor I
37,Crack,high,73.8,"Midelt, Ligne 4, Colonne 9",data/simulated_images\defect_Crack_20260510_132515.png,2026-05-10 13:25:15,pending,,,Noor IV
38,MirrorMisalignment,high,76.2,"Noor II, Ligne 7, Colonne 5",data/simulated_images\defect_MirrorMisalignment_20260510_132548.png,2026-05-10 13:25:49,pending,,,Noor I
39,TrackingFailure,high,59.4,"Noor III, Ligne 11, Colonne 10",data/simulated_images\defect_TrackingFailure_20260510_132549.png,2026-05-10 13:25:49,pending,,,Noor III
40,Broken Cell,critical,94.7,"Noor IV, Ligne 3, Colonne 13",data/simulated_images\defect_Broken Cell_20260510_132638.png,2026-05-10 13:26:40,pending,,,Noor IV
41,MirrorMisalignment,high,66.4,"Noor II, Ligne 4, Colonne 1",data/simulated_images\defect_MirrorMisalignment_20260510_132647.png,2026-05-10 13:26:48,pending,,,Noor I
42,Crack,high,63.8,"Midelt, Ligne 6, Colonne 12",data/simulated_images\defect_Crack_20260510_132654.png,2026-05-10 13:26:54,pending,,,Noor IV
43,StringOpenCircuit,critical,78.9,"Midelt, Ligne 6, Colonne 7",data/simulated_images\defect_StringOpenCircuit_20260510_132701.png,2026-05-10 13:27:01,pending,,,Midelt
44,StringOpenCircuit,critical,73.6,"Midelt, Ligne 2, Colonne 1",data/simulated_images\defect_StringOpenCircuit_20260510_145514.png,2026-05-10 14:55:14,pending,,,Midelt
45,Hotspot,critical,79.6,"Noor IV, Ligne 6, Colonne 4",data/simulated_images\defect_Hotspot_20260510_145526.png,2026-05-10 14:55:26,pending,,,Noor IV
46,MirrorMisalignment,high,64.0,"Noor II, Ligne 7, Colonne 6",data/simulated_images\defect_MirrorMisalignment_20260510_145528.png,2026-05-10 14:55:28,taken,Alla Chaimae,2026-05-10 15:19:08,Noor I
47,Dust,low,42.0,"Noor IV, Ligne 12, Colonne 10",data/simulated_images\defect_Dust_20260510_150214.png,2026-05-10 15:02:16,pending,,,Noor IV
48,MirrorMisalignment,high,61.4,"Noor II, Ligne 2, Colonne 4",data/simulated_images\defect_MirrorMisalignment_20260510_150237.png,2026-05-10 15:02:37,pending,,,Noor I
49,Crack,high,62.2,"Midelt, Ligne 12, Colonne 11",data/simulated_images\defect_Crack_20260510_150640.png,2026-05-10 15:06:40,pending,,,Noor IV
50,ThermalGradientAnomaly,medium,55.5,"Noor III, Ligne 6, Colonne 5",data/simulated_images\defect_ThermalGradientAnomaly_20260510_150647.png,2026-05-10 15:06:47,pending,,,Noor III
51,HTFLeak,critical,88.8,"Noor II, Ligne 2, Colonne 10",data/simulated_images\defect_HTFLeak_20260510_150726.png,2026-05-10 15:07:26,pending,,,Noor II
52,Hotspot,critical,76.5,"Midelt, Ligne 12, Colonne 10",data/simulated_images\defect_Hotspot_20260510_150742.png,2026-05-10 15:07:42,pending,,,Noor IV
53,Shading,medium,47.0,"Noor IV, Ligne 6, Colonne 9",data/simulated_images\defect_Shading_20260510_151806.png,2026-05-10 15:18:06,pending,,,Noor IV
54,StringOpenCircuit,critical,86.4,"Midelt, Ligne 9, Colonne 9",data/simulated_images\defect_StringOpenCircuit_20260510_151810.png,2026-05-10 15:18:10,pending,,,Midelt
55,ThermalGradientAnomaly,medium,64.3,"Noor III, Ligne 4, Colonne 1",data/simulated_images\defect_ThermalGradientAnomaly_20260510_151906.png,2026-05-10 15:19:08,pending,,,Noor III
56,TrackingFailure,high,61.4,"Noor III, Ligne 3, Colonne 6",data/simulated_images\defect_TrackingFailure_20260510_151913.png,2026-05-10 15:19:13,pending,,,Noor III
57,MirrorMisalignment,high,62.2,"Noor I, Ligne 4, Colonne 6",data/simulated_images\defect_MirrorMisalignment_20260510_153228.png,2026-05-10 15:32:30,pending,,,Noor I
58,Crack,high,60.8,"Midelt, Ligne 10, Colonne 13",data/simulated_images\defect_Crack_20260510_153500.png,2026-05-10 15:35:00,pending,,,Noor IV
59,AbsorberTubeDegradation,critical,81.0,"Noor I, Ligne 4, Colonne 11",data/simulated_images\defect_AbsorberTubeDegradation_20260510_153500.png,2026-05-10 15:35:00,pending,,,Noor I
60,StringOpenCircuit,critical,83.7,"Midelt, Ligne 9, Colonne 5",data/simulated_images\defect_StringOpenCircuit_20260510_153504.png,2026-05-10 15:35:04,pending,,,Midelt
61,Hotspot,critical,78.5,"Midelt, Ligne 10, Colonne 7",data/simulated_images\defect_Hotspot_20260510_154512.png,2026-05-10 15:45:12,pending,,,Noor IV
62,TrackingFailure,high,73.9,"Noor III, Ligne 12, Colonne 11",data/simulated_images\defect_TrackingFailure_20260510_154512.png,2026-05-10 15:45:12,pending,,,Noor III
63,ThermalGradientAnomaly,medium,64.4,"Noor III, Ligne 1, Colonne 12",data/simulated_images\defect_ThermalGradientAnomaly_20260510_154717.png,2026-05-10 15:47:17,pending,,,Noor III
64,TrackingFailure,high,59.8,"Noor III, Ligne 9, Colonne 13",data/simulated_images\defect_TrackingFailure_20260510_154721.png,2026-05-10 15:47:21,pending,,,Noor III
65,HTFLeak,critical,88.6,"Noor II, Ligne 12, Colonne 2",data/simulated_images\defect_HTFLeak_20260510_154738.png,2026-05-10 15:47:38,pending,,,Noor II
66,Broken Cell,critical,92.3,"Noor IV, Ligne 5, Colonne 3",data/simulated_images\defect_Broken Cell_20260510_154752.png,2026-05-10 15:47:52,pending,,,Noor IV
67,StringReversedPolarity,high,69.8,"Midelt, Ligne 1, Colonne 2",data/simulated_images\defect_StringReversedPolarity_20260510_154828.png,2026-05-10 15:48:29,pending,,,Midelt
68,AbsorberTubeDegradation,critical,96.2,"Noor I, Ligne 12, Colonne 13",data/simulated_images\defect_AbsorberTubeDegradation_20260510_154914.png,2026-05-10 15:49:14,pending,,,Noor I
